company,count,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education,company_clean
Adyen,15,10,15,15,15,15,15,14,15,15,15,11,10,15,15,15,15,15,15,15,15,15,15,15,15,15,7,9,15
CGI Group,15,15,15,15,15,15,15,15,15,15,15,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,15
Freshworks,15,15,15,15,15,15,15,15,15,15,15,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,8,9,15
Bluecore,14,14,14,14,14,14,14,14,14,14,14,13,5,14,14,14,14,14,14,14,14,14,14,14,14,14,3,5,14
AppFolio,14,14,14,14,14,14,14,14,14,14,14,10,9,14,14,14,14,14,14,14,14,14,14,14,14,14,8,9,14
Wipro Limited,14,14,14,14,14,14,14,14,14,14,14,9,12,14,14,14,14,14,14,14,14,14,14,14,14,14,8,7,14
OfferUp,14,14,14,14,14,14,14,14,14,14,14,6,10,14,14,14,14,14,14,14,14,14,14,14,14,14,3,4,14
WePay,14,13,14,14,14,14,14,14,14,14,14,6,9,14,14,14,14,14,14,14,14,14,14,14,14,14,2,4,14
Chan Zuckerberg Initiative,14,14,14,14,14,14,14,14,14,14,14,6,12,14,14,14,14,14,14,14,14,14,14,14,14,14,3,7,14
ZS,14,14,14,14,14,14,14,14,14,14,14,9,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9,10,14
Lowe's,14,14,14,14,14,14,14,14,14,14,14,10,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9,11,14
Razorpay,14,14,14,14,14,14,14,14,14,14,14,10,9,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,14
Kroger,14,14,14,14,14,14,14,14,14,14,14,8,10,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,14
facebook,14,14,14,14,14,14,14,12,14,14,14,6,5,14,14,14,14,14,14,14,14,14,14,14,14,14,2,3,14
oracle,14,14,14,14,14,14,14,14,14,14,14,8,9,14,14,14,14,14,14,14,14,14,14,14,14,14,3,7,14
realtor.com,14,14,14,14,14,14,14,14,14,14,14,9,11,14,14,14,14,14,14,14,14,14,14,14,14,14,6,7,14
Just Eat,14,14,14,14,14,14,14,14,14,14,14,10,8,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,14
athenahealth,14,14,14,14,14,14,14,14,14,14,14,12,9,14,14,14,14,14,14,14,14,14,14,14,14,14,8,8,14
Cisco Meraki,14,13,14,14,14,14,14,14,14,14,14,8,5,14,14,14,14,14,14,14,14,14,14,14,14,14,2,3,14
Prudential Financial,14,14,14,14,14,14,14,14,14,14,14,4,11,14,14,14,14,14,14,14,14,14,14,14,14,14,5,5,14
IHS Markit,14,14,14,14,14,14,14,14,14,14,14,9,11,14,14,14,14,14,14,14,14,14,14,14,14,14,3,8,14
Daimler,13,13,13,13,13,13,13,13,13,13,13,9,12,13,13,13,13,13,13,13,13,13,13,13,13,13,6,9,13
National Instruments,13,13,13,13,13,13,13,12,13,13,13,7,6,13,13,13,13,13,13,13,13,13,13,13,13,13,4,3,13
SoundCloud,13,13,13,13,13,13,13,13,13,13,13,10,12,13,13,13,13,13,13,13,13,13,13,13,13,13,4,9,13
Zillow Group,13,13,13,13,13,13,13,13,13,13,13,7,2,13,13,13,13,13,13,13,13,13,13,13,13,13,1,2,13
Deloitte Advisory,13,13,13,13,13,13,13,13,13,13,13,9,12,13,13,13,13,13,13,13,13,13,13,13,13,13,8,10,13
GitLab,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,13
Globant,13,13,13,13,13,13,13,13,13,13,13,11,8,13,13,13,13,13,13,13,13,13,13,13,13,13,8,8,13
Moody's,13,12,13,13,13,13,13,13,13,13,13,9,12,13,13,13,13,13,13,13,13,13,13,13,13,13,9,10,13
SoftServe,13,13,13,13,13,13,13,13,13,13,13,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,10,11,13
Perficient,13,13,13,13,13,13,13,13,13,13,13,10,12,13,13,13,13,13,13,13,13,13,13,13,13,13,6,10,13
Bosch Global,13,13,13,13,13,13,13,13,13,13,13,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,9,11,13
LogMeIn,13,13,13,13,13,13,13,13,13,13,13,11,9,13,13,13,13,13,13,13,13,13,13,13,13,13,5,8,13
Tanium,13,13,13,13,13,13,13,13,13,13,13,7,11,13,13,13,13,13,13,13,13,13,13,13,13,13,5,4,13
OYO,13,13,13,13,13,13,13,13,13,13,13,9,4,13,13,13,13,13,13,13,13,13,13,13,13,13,2,4,13
Optimizely,13,13,13,13,13,13,13,13,13,13,13,10,8,13,13,13,13,13,13,13,13,13,13,13,13,13,6,7,13
Procore Technologies,13,13,13,13,13,13,13,13,13,13,13,7,12,13,13,13,13,13,13,13,13,13,13,13,13,13,6,7,13
Luxoft,13,13,13,13,13,13,13,13,13,13,13,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,8,9,13
Zoho,13,13,13,13,13,13,13,13,13,13,13,8,11,13,13,13,13,13,13,13,13,13,13,13,13,13,7,7,13
Dolby Laboratories,13,13,13,13,13,13,13,13,13,13,13,12,10,13,13,13,13,13,13,13,13,13,13,13,13,13,9,9,13
NortonLifeLock,13,13,13,13,13,13,13,13,13,13,13,7,12,13,13,13,13,13,13,13,13,13,13,13,13,13,3,8,13
Discovery,13,13,13,13,13,13,13,13,13,13,13,9,12,13,13,13,13,13,13,13,13,13,13,13,13,13,7,7,13
IQVIA,13,13,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,9,10,13
Carvana,13,13,13,13,13,13,13,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,13,10,11,13
Weave,13,13,13,13,13,13,13,13,13,13,13,10,11,13,13,13,13,13,13,13,13,13,13,13,13,13,9,9,13
WarnerMedia,12,12,12,12,12,12,12,12,12,12,12,7,7,12,12,12,12,12,12,12,12,12,12,12,12,12,5,4,12
Silicon Valley Bank,12,12,12,12,12,12,12,12,12,12,12,4,8,12,12,12,12,12,12,12,12,12,12,12,12,12,1,3,12
DXC Technology,12,12,12,12,12,12,12,12,12,12,12,6,10,12,12,12,12,12,12,12,12,12,12,12,12,12,3,4,12
Procore,12,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,12
Loblaw Digital,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,11,12
Oliver Wyman,12,12,12,12,12,12,12,12,12,12,12,4,6,12,12,12,12,12,12,12,12,12,12,12,12,12,2,4,12
Teradata,12,12,12,12,12,12,12,12,12,12,12,8,9,12,12,12,12,12,12,12,12,12,12,12,12,12,5,6,12
Roche,12,12,12,12,12,12,12,12,12,12,12,7,9,12,12,12,12,12,12,12,12,12,12,12,12,12,7,8,12
Blackstone,12,12,12,12,12,12,12,12,12,12,12,8,6,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,12
Commvault,12,12,12,12,12,12,12,12,12,12,12,5,9,12,12,12,12,12,12,12,12,12,12,12,12,12,2,4,12
MassMutual,12,12,12,12,12,12,12,12,12,12,12,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,4,5,12
MITRE,12,12,12,12,12,12,12,12,12,12,12,10,8,12,12,12,12,12,12,12,12,12,12,12,12,12,4,8,12
Blue Yonder,12,12,12,12,12,12,12,12,12,12,12,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,12
PepsiCo,12,12,12,12,12,12,12,12,12,12,12,8,11,12,12,12,12,12,12,12,12,12,12,12,12,12,7,9,12
General Atomics,12,12,12,12,12,12,12,12,12,12,12,11,8,12,12,12,12,12,12,12,12,12,12,12,12,12,4,6,12
Microchip,12,12,12,12,12,12,12,12,12,12,12,8,5,12,12,12,12,12,12,12,12,12,12,12,12,12,2,4,12
Blend,12,12,12,12,12,12,12,11,12,12,12,8,7,12,12,12,12,12,12,12,12,12,12,12,12,12,4,5,12
Rippling,12,12,12,12,12,12,12,12,12,12,12,8,11,12,12,12,12,12,12,12,12,12,12,12,12,12,8,7,12
MURAL,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,6,12
Clever,12,12,12,12,12,12,12,12,12,12,12,7,9,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,12
NXP Semiconductors,12,12,12,12,12,12,12,12,12,12,12,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4,10,12
iCIMS,12,12,12,12,12,12,12,12,12,12,12,9,7,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,12
RetailMeNot,12,12,12,12,12,12,12,12,12,12,12,9,8,12,12,12,12,12,12,12,12,12,12,12,12,12,2,4,12
Chegg,12,12,12,12,12,12,12,12,12,12,12,6,7,12,12,12,12,12,12,12,12,12,12,12,12,12,3,5,12
EPAM,12,12,12,12,12,12,12,11,12,12,12,8,7,12,12,12,12,12,12,12,12,12,12,12,12,12,3,6,12
Equifax,12,12,12,12,12,12,12,12,12,12,12,9,10,12,12,12,12,12,12,12,12,12,12,12,12,12,7,8,12
Sprinklr,12,12,12,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,9,10,12
TELUS,12,12,12,12,12,12,12,12,12,12,12,8,11,12,12,12,12,12,12,12,12,12,12,12,12,12,6,8,12
Raytheon Technologies,12,12,12,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,7,9,12
Udemy,12,12,12,12,12,12,12,12,12,12,12,6,7,12,12,12,12,12,12,12,12,12,12,12,12,12,2,5,12
Aptiv,12,12,12,12,12,12,12,12,12,12,12,7,9,12,12,12,12,12,12,12,12,12,12,12,12,12,3,5,12
Oscar,12,12,12,12,12,12,12,12,12,12,12,6,9,12,12,12,12,12,12,12,12,12,12,12,12,12,5,6,12
Ally,12,12,12,12,12,12,12,12,12,12,12,6,7,12,12,12,12,12,12,12,12,12,12,12,12,12,2,3,12
Hewlett Packard Enterprise,12,12,12,12,12,12,12,11,12,12,12,9,6,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,12
Cigna,12,11,12,12,12,12,12,12,12,12,12,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,12
NerdWallet,12,12,12,12,12,12,12,12,12,12,12,7,7,12,12,12,12,12,12,12,12,12,12,12,12,12,3,5,12
HP Inc,12,12,12,12,12,12,12,12,12,12,12,9,8,12,12,12,12,12,12,12,12,12,12,12,12,12,4,7,12
Improbable,11,11,11,11,11,11,11,11,11,11,11,9,8,11,11,11,11,11,11,11,11,11,11,11,11,11,4,7,11
InMobi,11,11,11,11,11,11,11,11,11,11,11,8,9,11,11,11,11,11,11,11,11,11,11,11,11,11,7,9,11
ZS Associates,11,11,11,11,11,11,11,11,11,11,11,8,9,11,11,11,11,11,11,11,11,11,11,11,11,11,6,9,11
Amdocs,11,11,11,11,11,11,11,11,11,11,11,6,8,11,11,11,11,11,11,11,11,11,11,11,11,11,4,5,11
NASA JPL,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
vmware,11,11,11,11,11,11,11,8,11,11,11,6,3,11,11,11,11,11,11,11,11,11,11,11,11,11,1,3,11
Scotiabank,11,11,11,11,11,11,11,11,11,11,11,6,8,11,11,11,11,11,11,11,11,11,11,11,11,11,3,5,11
Betterment,11,11,11,11,11,11,11,11,11,11,11,7,10,11,11,11,11,11,11,11,11,11,11,11,11,11,5,6,11
Micro Focus,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,8,10,11
Mindtree,11,11,11,11,11,11,11,11,11,11,11,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,6,7,11
Scale AI,11,11,11,11,11,11,11,11,11,11,11,6,9,11,11,11,11,11,11,11,11,11,11,11,11,11,5,7,11
Johnson and Johnson,11,11,11,11,11,11,11,11,11,11,11,8,5,11,11,11,11,11,11,11,11,11,11,11,11,11,2,5,11
Anduril Industries,11,11,11,11,11,11,11,11,11,11,11,6,9,11,11,11,11,11,11,11,11,11,11,11,11,11,4,6,11
cisco,11,11,11,11,11,11,11,11,11,11,11,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,1,4,11
Bayer,11,11,11,11,11,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,10,11
Rent the Runway,11,11,11,11,11,11,11,11,11,11,11,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,8,9,11
Mixpanel,11,11,11,11,11,11,11,10,11,11,11,4,6,11,11,11,11,11,11,11,11,11,11,11,11,11,3,4,11
World Wide Technology,11,11,11,11,11,11,11,11,11,11,11,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,6,7,11
SAIC,11,11,11,11,11,11,11,11,11,11,11,10,6,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,11
Airtable,11,10,11,11,11,11,11,10,11,11,11,2,8,11,11,11,11,11,11,11,11,11,11,11,11,11,2,3,11
MobileIron,11,11,11,11,11,11,11,11,11,11,11,5,8,11,11,11,11,11,11,11,11,11,11,11,11,11,4,6,11
Poshmark,11,11,11,11,11,11,11,10,11,11,11,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,8,11
Arcesium,11,11,11,11,11,11,11,11,11,11,11,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,8,11
Optiver,11,11,11,11,11,11,11,11,11,11,11,6,7,11,11,11,11,11,11,11,11,11,11,11,11,11,3,5,11
Auth0,11,11,11,11,11,11,11,11,11,11,11,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,5,4,11
Hudson River Trading,11,8,11,11,11,11,11,11,11,11,11,4,10,11,11,11,11,11,11,11,11,11,11,11,11,11,2,5,11
Tenable,11,11,11,11,11,11,11,11,11,11,11,11,6,11,11,11,11,11,11,11,11,11,11,11,11,11,2,5,11
DataRobot,11,11,11,11,11,11,11,11,11,11,11,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,6,11
FIS,11,11,11,11,11,11,11,11,11,11,11,10,8,11,11,11,11,11,11,11,11,11,11,11,11,11,4,5,11
Maxar Technologies,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,11
SmartThings,11,11,11,11,11,11,11,11,11,11,11,6,5,11,11,11,11,11,11,11,11,11,11,11,11,11,3,4,11
Niantic,11,11,11,11,11,11,11,11,11,11,11,3,7,11,11,11,11,11,11,11,11,11,11,11,11,11,4,6,11
FICO,11,11,11,11,11,11,11,11,11,11,11,5,7,11,11,11,11,11,11,11,11,11,11,11,11,11,3,5,11
Ciklum,11,11,11,11,11,11,11,11,11,11,11,8,9,11,11,11,11,11,11,11,11,11,11,11,11,11,7,8,11
ViacomCBS,11,11,11,11,11,11,11,11,11,11,11,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,8,11
Tripadvisor,11,11,11,11,11,11,11,11,11,11,11,11,7,11,11,11,11,11,11,11,11,11,11,11,11,11,2,5,11
The Trade Desk,11,11,11,11,11,11,11,11,11,11,11,6,7,11,11,11,11,11,11,11,11,11,11,11,11,11,4,4,11
Cvent,11,11,11,11,11,11,11,11,11,11,11,7,8,11,11,11,11,11,11,11,11,11,11,11,11,11,3,6,11
Ciena,11,11,11,11,11,11,11,11,11,11,11,7,9,11,11,11,11,11,11,11,11,11,11,11,11,11,6,5,11
Charter Communications,11,11,11,11,11,11,11,11,11,11,11,10,8,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,11
Sumo Logic,11,11,11,11,11,11,11,11,11,11,11,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,6,6,11
Squarespace,11,11,11,11,11,11,11,10,11,11,11,9,8,11,11,11,11,11,11,11,11,11,11,11,11,11,5,4,11
Boston Consulting Group,11,11,11,11,11,11,11,11,11,11,11,6,10,11,11,11,11,11,11,11,11,11,11,11,11,11,5,7,11
Bose,11,11,11,11,11,11,11,11,11,11,11,9,4,11,11,11,11,11,11,11,11,11,11,11,11,11,3,4,11
T. Rowe Price,11,11,11,11,11,11,11,11,11,11,11,9,8,11,11,11,11,11,11,11,11,11,11,11,11,11,6,8,11
Sophos,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,6,7,10
Dell,10,10,10,10,10,10,10,10,10,10,10,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,3,6,10
ibm,10,10,10,10,10,10,10,10,10,10,10,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,2,4,10
Alarm.com,10,10,10,10,10,10,10,10,10,10,10,4,7,10,10,10,10,10,10,10,10,10,10,10,10,10,2,3,10
Deloitte Consulting,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10
Nasdaq,10,10,10,10,10,10,10,10,10,10,10,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,4,6,10
Quantcast,10,10,10,10,10,10,10,10,10,10,10,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,2,3,10
TCS,10,10,10,10,10,10,10,10,10,10,10,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,3,4,10
Thermo Fisher Scientific,10,10,10,10,10,10,10,10,10,10,10,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10
TuSimple,10,10,10,10,10,10,10,10,10,10,10,5,8,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10
Ibm,10,10,10,10,10,10,10,10,10,10,10,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,2,4,10
Spectrum,10,10,10,10,10,10,10,10,10,10,10,4,7,10,10,10,10,10,10,10,10,10,10,10,10,10,5,3,10
SAS Software,10,9,10,10,10,10,10,10,10,10,10,3,6,10,10,10,10,10,10,10,10,10,10,10,10,10,2,3,10
Synology,10,9,10,10,10,10,10,10,10,10,10,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,7,10
RingCentral,10,10,10,10,10,10,10,10,10,10,10,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,10
Apple Inc.,10,10,10,10,10,10,10,10,10,10,10,7,6,10,10,10,10,10,10,10,10,10,10,10,10,10,2,5,10
Microsoft Corporation,10,10,10,10,10,10,10,10,10,10,10,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,10
Appian,10,10,10,10,10,10,10,10,10,10,10,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10
MakeMyTrip,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,6,10
CGI,10,10,10,10,10,10,10,10,10,10,10,6,4,10,10,10,10,10,10,10,10,10,10,10,10,10,2,3,10
Elsevier,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,6,7,10
Verizon Media,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,10
Hootsuite,10,10,10,10,10,10,10,10,10,10,10,9,8,10,10,10,10,10,10,10,10,10,10,10,10,10,6,8,10
VMWare,10,10,10,10,10,10,10,7,10,10,10,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10,4,5,10
Dish Network,10,10,10,10,10,10,10,10,10,10,10,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,3,5,10
Glovo,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,6,9,10
Netskope,10,10,10,10,10,10,10,10,10,10,10,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,1,5,10
Wix,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,10
Thoughtworks,10,10,10,10,10,10,10,10,10,10,10,7,2,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,10
Gap,10,10,10,10,10,10,10,9,10,10,10,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10
Lucid Motors,10,10,10,10,10,10,10,10,10,10,10,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,10
MicroStrategy,10,10,10,10,10,10,10,10,10,10,10,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10
uber,10,10,10,10,10,10,10,10,10,10,10,4,6,10,10,10,10,10,10,10,10,10,10,10,10,10,1,6,10
ASUS,10,10,10,10,10,10,10,9,10,10,10,4,9,10,10,10,10,10,10,10,10,10,10,10,10,10,4,7,10
Shipt,10,10,10,10,10,10,10,10,10,10,10,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,5,6,10
Paycom,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10
Keysight,10,10,10,10,10,10,10,10,10,10,10,5,8,10,10,10,10,10,10,10,10,10,10,10,10,10,4,5,10
Coupa Software,10,10,10,10,10,10,10,10,10,10,10,4,7,10,10,10,10,10,10,10,10,10,10,10,10,10,3,5,10
FireEye,10,10,10,10,10,10,10,10,10,10,10,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,5,7,10
Collins Aerospace,10,10,10,10,10,10,10,10,10,10,10,8,4,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,10
The Hartford,10,10,10,10,10,10,10,10,10,10,10,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,5,6,10
G-Research,10,9,10,10,10,10,10,10,10,10,10,4,7,10,10,10,10,10,10,10,10,10,10,10,10,10,4,3,10
Booking,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,1,2,10
Logitech,10,10,10,10,10,10,10,10,10,10,10,7,6,10,10,10,10,10,10,10,10,10,10,10,10,10,3,5,10
Shutterfly,10,10,10,10,10,10,10,10,10,10,10,6,5,10,10,10,10,10,10,10,10,10,10,10,10,10,3,4,10
Tesco,10,10,10,10,10,10,10,10,10,10,10,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,6,8,10
Addepar,10,10,10,10,10,10,10,10,10,10,10,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,1,2,10
Morningstar,10,10,10,10,10,10,10,10,10,10,10,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10
The Walt Disney Company,10,10,10,10,10,10,10,10,10,10,10,8,3,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,10
FedEx,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,8,9,10
PlayStation,10,10,10,10,10,10,10,9,10,10,10,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,2,4,10
Hubspot,9,9,9,9,9,9,9,9,9,9,9,8,3,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9
Lumen,9,9,9,9,9,9,9,9,9,9,9,3,4,9,9,9,9,9,9,9,9,9,9,9,9,9,2,3,9
Kaiser Permanente,9,9,9,9,9,9,9,9,9,9,9,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,2,4,9
United Airlines,9,9,9,9,9,9,9,9,9,9,9,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,9
Mphasis,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,9
Realtor.com,9,9,9,9,9,9,9,9,9,9,9,7,5,9,9,9,9,9,9,9,9,9,9,9,9,9,3,4,9
Constant Contact,9,9,9,9,9,9,9,9,9,9,9,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,6,5,9
Patreon,9,9,9,9,9,9,9,9,9,9,9,4,6,9,9,9,9,9,9,9,9,9,9,9,9,9,2,3,9
DataArt,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,9
The D. E. Shaw Group,9,9,9,9,9,9,9,9,9,9,9,3,5,9,9,9,9,9,9,9,9,9,9,9,9,9,2,4,9
Rapid7,9,9,9,9,9,9,9,9,9,9,9,6,8,9,9,9,9,9,9,9,9,9,9,9,9,9,3,6,9
Teladoc Health,9,9,9,9,9,9,9,9,9,9,9,5,8,9,9,9,9,9,9,9,9,9,9,9,9,9,4,6,9
McKesson,9,9,9,9,9,9,9,9,9,9,9,4,7,9,9,9,9,9,9,9,9,9,9,9,9,9,3,5,9
Hitachi,9,9,9,9,9,9,9,9,9,9,9,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,9
Tower Research Capital,9,9,9,9,9,9,9,9,9,9,9,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9
Jane Street,9,5,9,9,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,3,7,9
Infor,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,5,7,9
John Deere,9,9,9,9,9,9,9,9,9,9,9,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,9
The Climate Corporation,9,9,9,9,9,9,9,9,9,9,9,3,6,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9
Manulife,9,9,9,9,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,7,6,9
Ama,9,9,9,9,9,9,9,9,9,9,9,7,5,9,9,9,9,9,9,9,9,9,9,9,9,9,1,4,9
RBS,9,9,9,9,9,9,9,9,9,9,9,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,9
Turo,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,8,9
Motional,9,9,9,9,9,9,9,9,9,9,9,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,5,6,9
Intuitive,9,9,9,9,9,9,9,9,9,9,9,5,7,9,9,9,9,9,9,9,9,9,9,9,9,9,3,5,9
Docker,9,9,9,9,9,9,9,9,9,9,9,7,3,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9
Ansys,9,9,9,9,9,9,9,9,9,9,9,4,6,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,9
Mail.ru Group,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9
Samsung Electronics America,9,9,9,9,9,9,9,9,9,9,9,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,5,7,9
Better.com,9,9,9,9,9,9,9,9,9,9,9,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,9
Mercer,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,8,9
Bandwidth,9,9,9,9,9,9,9,9,9,9,9,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,4,5,9
Wolters Kluwer,9,8,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,4,7,9
Athenahealth,9,9,9,9,9,9,9,9,9,9,9,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,5,6,9
General Electric,9,9,9,9,9,9,9,9,9,9,9,5,4,9,9,9,9,9,9,9,9,9,9,9,9,9,2,4,9
Samsung Research America,9,9,9,9,9,9,9,9,9,9,9,6,5,9,9,9,9,9,9,9,9,9,9,9,9,9,3,5,9
OpenText,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,9
